title,position,requirements
Аналитик данных,junior,"['MS Excel', 'Извлечение данных', 'Формирование аналитической отчетности', 'Предобработка данных', 'Аналитические исследования', 'Деловая коммуникация', 'Деловая переписка', 'Сбор и анализ информации', 'Работа с базами данных', 'Работа с большим объемом информации', 'Опыт работы в закупках, логистике от 2-лет; Уверенный пользователь Excel, знание формул (ВПР, СуммЕсли и проч.), умение работать со сводными таблицами; Умение справляться с большим потоком информации и документооборотом.', 'Что предлагаем:', 'Работа в компании с устойчивым развитием и перспективами роста; Оформление в соответствии с ТК РФ, ""белая"" зарплата, с выплатами 2 раза в месяц; Полноценное обучение и введение в должность с опытным наставником; График работы: понедельник – четверг с 9.00 до 18.00, пятница с 9.00 до 16.30; Профессиональный и дружный коллектив.']"
Аналитик данных,middle,"['Бизнес-анализ', 'SQL', 'Power BI', 'DWH', '1С', 'Анализ данных', 'Визуализация данных']"
Аналитик данных,intern,"['MS Excel', 'Аналитическое мышление', 'Формирование аналитической отчетности', 'Предобработка данных', 'Стрессоустойчивость', 'Работа с большим объемом информации', 'навыки работы в MS Excel (продвинутый пользователь); умение работать с большим объёмом информации; аналитический склад ума; стрессоустойчивость']"
Data-analyst / Аналитик данных,junior,"['Анализ данных', 'Big Data', 'LightGBM', 'Регрессионный анализ', 'Jupyter Notebook', 'SQL', 'Power BI', 'Основы баз данных', 'Apache Airflow', 'Python', 'Классическое машинное обучение', 'Clickhouse', 'Bash', 'pandas', 'Numpy', 'Matplotlib', 'PySpark']"
Аналитик данных,junior,[]
Аналитик данных отдела маркетинга,junior,"['Аналитические исследования', 'Работа с большим объемом информации', 'MS Excel', 'MS SQL', 'MySQL', 'Power BI', 'Аналитика', 'Аналитический склад ума и системное мышление, умение работать с данными (в том числе находить аномалии и отклонения данных) и делать на их основе выводы; Опыт работы с большими массивами данных; Отличное владение Excel: сложные функции, сводные таблицы, макросы; Опыт работы с CX-метриками (NPS, CSI) и количественными и качественными методами исследований клиентского опыта; Опыт подготовки презентационных материалов в Power Point; Знание Power BI (DAX) и SQL (диалект MySQL или иной); Знание Python - является преимуществом; Опыт работы в сфере аналитики от 1 года.']"
Senior Data analyst,senior,"['SQL', 'Бизнес-анализ', 'ETL', 'Power BI', 'MS Excel', 'CRM']"
Аналитик данных,junior,"['SQL', 'pandas', 'Plotly', 'Jupiter', 'Jupyter Notebook', 'Высшее образование; Опыт анализа данных и формирования аналитических отчетов и дашбордов; Опыт работы с SQL обязателен; Знание Python (Pandas, Plotly, python-docx, python-docx-template, python-pptx). Знание интерфейса и функционала jupiter notebook и jupyterlab; Опыт работы с BI системами, формирующих отчеты на JS будет преимуществом; Понимание организации отрасли здравоохранения (организация медицинской помощи, системы ОМС и т.д.) будет преимуществом.']"
Аналитик данных/программист,intern,"['ООП', 'SQL', 'MySQL', 'PHP', 'Java', 'высшее/неполное высшее образование; знание языков/стандартов , SQL; знания и опыт работы хотя бы с одной из СУБД PostgreSQL, Oracle, MSSQL, Firebird (Interbase), MySQL; приветствуется знания одного из языков программирования', 'Условия:', 'Официальное трудоустройство по ТК РФ; Официальная стабильная заработная плата; Квартальные премии по итогам работы; График работы 5/2 с 8:00 до 17:00 (перерыв для отдыха и питания с 12:00 до 13:00); Ежегодный оплачиваемый отпуск от 31 календарного дня; Работа в центре города; Карьерный рост.']"
Аналитик данных,middle,"['Анализ данных', 'SQL', 'PostgreSQL', 'Clickhouse', 'DataLens', 'Grafana', 'Продуктовые метрики', 'Бизнес метрики', 'A/B тесты', 'Когортный анализ', 'Анализ поведения пользователей', 'Python', 'pandas', 'Jupyter Notebook', 'Apache Airflow', 'Ad-hoc тестирование']"
