skill,count,precent
mapping,21,0.3837719298245614
data vault,21,0.3837719298245614
typescript,21,0.3837719298245614
cloud platforms,21,0.3837719298245614
snowflake,20,0.36549707602339176
data warehouse,20,0.36549707602339176
forecasting,20,0.36549707602339176
redmine,19,0.3472222222222222
mixpanel,19,0.3472222222222222
camunda,18,0.3289473684210526
gitlab,18,0.3289473684210526
bizagi,18,0.3289473684210526
spss,17,0.31067251461988304
pd,16,0.29239766081871343
android,15,0.2741228070175438
rabbitmq,15,0.2741228070175438
feature engineering,15,0.2741228070175438
swagger,15,0.2741228070175438
microservices,15,0.2741228070175438
selenium,15,0.2741228070175438
spacy,14,0.25584795321637427
oracle oracle,14,0.25584795321637427
data integration,14,0.25584795321637427
groovy,14,0.25584795321637427
streaming data,14,0.25584795321637427
template,13,0.23757309941520466
economics,13,0.23757309941520466
english,13,0.23757309941520466
tableau tableau,13,0.23757309941520466
data pipelines,13,0.23757309941520466
revit,13,0.23757309941520466
sqlalchemy,13,0.23757309941520466
leadership,13,0.23757309941520466
multiprocessing,12,0.21929824561403508
redis,12,0.21929824561403508
yandex,12,0.21929824561403508
blockchain,12,0.21929824561403508
research,11,0.2010233918128655
dcf,11,0.2010233918128655
sql sql,11,0.2010233918128655
vscode,10,0.18274853801169588
prometheus,10,0.18274853801169588
firebase,10,0.18274853801169588
psycopg,9,0.1644736842105263
threading,9,0.1644736842105263
bokeh,9,0.1644736842105263
google data,9,0.1644736842105263
data studio,9,0.1644736842105263
ar,9,0.1644736842105263
tns,8,0.14619883040935672
wms,8,0.14619883040935672
consultant,8,0.14619883040935672
autocad,8,0.14619883040935672
underwriting,8,0.14619883040935672
data governance,8,0.14619883040935672
conversion rate,8,0.14619883040935672
researcher,8,0.14619883040935672
php java,8,0.14619883040935672
interbase,8,0.14619883040935672
firebird,8,0.14619883040935672
reengineering,8,0.14619883040935672
cdc,8,0.14619883040935672
parquet,8,0.14619883040935672
avro,8,0.14619883040935672
data capture,8,0.14619883040935672
dbeaver,8,0.14619883040935672
redux,8,0.14619883040935672
server python,8,0.14619883040935672
systems data,8,0.14619883040935672
analytics business,8,0.14619883040935672
cloud services,8,0.14619883040935672
react,8,0.14619883040935672
kubernetes,8,0.14619883040935672
dama,8,0.14619883040935672
open source,7,0.12792397660818713
test driven,7,0.12792397660818713
arch,7,0.12792397660818713
sap sql,7,0.12792397660818713
