title,position,requirements
Аналитик бизнес-процессов,middle,"SQL, MS Visio, Постановка задач разработчикам, BPMN, Моделирование бизнес процессов, ARIS, Разработка регламентов"
"Middle +/ Senior Data Scientist (AdTech, предсказательные модели) (офис)",middle,"Python, pandas, Numpy, R, Scikit-learn, Matplotlib, SciPy, Keras, PyTorch, TensorFlow"
Аналитик данных телеметрии,junior,"MS Excel, 1С, Анализ данных, Работа с большим объемом информации, Аналитическое мышление, Сбор и анализ информации, Деловая переписка"
"Старший Data Scientist, Отбор кандидатов",senior,"IT, Разработка поисковых технологий, ML"
Младший аналитик бизнес-процессов,junior,"Знание MS Office, Умение работать в условиях многозадачности, Сбор и анализ информации"
Аналитик данных - контролер качества данных,junior,"SQL, Анализ данных, Работа с большим объемом информации, Визуализация данных, Работа с базами данных, Интерпретация данных"
BI-аналитик,junior,"Бизнес-анализ, SQL, Power BI, Аналитическое мышление, Анализ бизнес-процессов, Системный анализ, MS Excel, Автоматизация бизнес-процессов, Python"
Специалист по аналитике данных,junior,"SQL, Аналитические исследования, MS PowerPoint, Работа с базами данных, Прогнозирование, Аналитика, Машинное обучение, Анализ данных, Базы данных"
Специалист по большим данным,junior,"SQL, Работа с базами данных, Python, Git"
Аналитик данных (розничная торговля),middle,"VBA, MS SQL, MS Excel"
"Front-end разработчик (продукт по аналитике данных, Next.js)",middle,"React, Next, TypeScript, SSR, SSG, APP Routes, Zustand, Redux, Git, SPA, FSD, Zod"
Data scientist (команда CRM и модели оптимизации),junior,"Python, Hadoop, ML, DL, PySpark, опыт работы в моделировании от 1 - 2-х лет в роли аналитика/DS, понимание банковских бизнес-процессов; уверенное владение Python, Spark; знание алгоритмов ML: деревьев решений и случайных лесов, регрессии, бустингов, кластеризации, временных рядов и др., понимание принципов работы рекомендательных систем и лежащих в основе алгоритмов, опыт работы с текстовыми данными приветствуется (NLP: тематическое моделирование, поиск ключевых слов, анализ тональности, задачи суммаризации, шаблонизации и др.); знание DL приветствуется: опыт обучения и использования нейросетей и предобученных моделей (RNN, LSTM, BERT, GPT); опыт написания ТЗ, БТ, проектной документации; наличие публикаций по ML/DL, опыт выступления на ML-конференциях – как плюс; ценится проактивный и творческий подход в решении задач."
Аналитик данных,junior,"Python, Статистический анализ, Numpy, pandas, Flask, Scikit-learn, SQL, Docker, Git, Фундаментальные знания в области (био)статистического анализа Уверенное владение Python и пакетами для анализа данных NumPy, Pandas и Scikit-learn Понимание векторных операций, преобразований и табличных трансформаций с ипользованием инструментов пакета Pandas Системное мышление Высокий уровень ответственности и позитивный настрой Желание постоянно учиться Английский язык не ниже уровня upper-intermediate Умение вести несколько проектов одновременно Умение работать как в команде, так и самостоятельно Опыт работы с микросервисной архитектурой (Flask, Swagger) будет плюсом Опыт работы с ML, DL также будет плюсом"
